Namespace(batch_size=128, clip=1.0, cuda=None, data='./data/us_hhs/data.txt', dropout=0.0, epilambda=0.2, epochs=2000, gpu=None, hidRNN=20, horizon=4, lr=0.001, metric=0, model='CNNRNN_Res', normalize=1, optim='adam', output_fun=None, ratio=1.0, residual_window=8, save_dir='save', save_name='cnnrnn_res.hhs.w-128.h-4.res-8.pt', seed=54321, sim_mat='./data/us_hhs/ind_mat.txt', train=0.6, valid=0.2, weight_decay=0, window=128)
data shape (364, 10)
<utils.Data_utility object at 0x7fe2513ace50>
model: Model(
  (GRU1): GRU(10, 20)
  (dropout): Dropout(p=0.0, inplace=False)
  (linear1): Linear(in_features=20, out_features=10, bias=True)
  (residual): Linear(in_features=8, out_features=1, bias=True)
)
* number of parameters: 2239
begin training
| end of epoch  94 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  95 | time:  0.08s | train_loss 30531616847847437577424830726144.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  96 | time:  0.10s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  97 | time:  0.06s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  98 | time:  0.08s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch  99 | time:  0.13s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 100 | time:  0.10s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 101 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 102 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 103 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 104 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 105 | time:  0.08s | train_loss 30531622539525775930647507894272.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 106 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 107 | time:  0.06s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 108 | time:  0.08s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 109 | time:  0.09s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 110 | time:  0.08s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 111 | time:  0.10s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 112 | time:  0.08s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 113 | time:  0.09s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 114 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 115 | time:  0.08s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 116 | time:  0.09s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 117 | time:  0.08s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 118 | time:  0.08s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 119 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 120 | time:  0.09s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 121 | time:  0.08s | train_loss 30531616847847437577424830726144.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 122 | time:  0.12s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 123 | time:  0.09s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 124 | time:  0.08s | train_loss 30531616847847437577424830726144.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 125 | time:  0.07s | train_loss 30531616847847437577424830726144.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 126 | time:  0.12s | train_loss 30531622539525775930647507894272.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 127 | time:  0.08s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 128 | time:  0.06s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 129 | time:  0.06s | train_loss 30531622539525775930647507894272.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 130 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 131 | time:  0.08s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 132 | time:  0.11s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 133 | time:  0.09s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 134 | time:  0.09s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 135 | time:  0.06s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 136 | time:  0.06s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 137 | time:  0.13s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 138 | time:  0.10s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 139 | time:  0.10s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 140 | time:  0.10s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 141 | time:  0.11s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 142 | time:  0.07s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 143 | time:  0.08s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 144 | time:  0.09s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 145 | time:  0.08s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
| end of epoch 146 | time:  0.08s | train_loss 30531619693686606754036169310208.00000000 | valid rse 7024058769166895.0000 | valid rae 1952818879753039.2500 | valid corr  0.3459
