Namespace(batch_size=128, clip=1.0, cuda=None, data='./data/us_hhs/data.txt', dropout=0.5, epilambda=0.2, epochs=2000, gpu=None, hidRNN=10, horizon=4, lr=0.001, metric=0, model='CNNRNN_Res', normalize=1, optim='adam', output_fun=None, ratio=0.001, residual_window=8, save_dir='save', save_name='cnnrnn_res.hhs.w-2.h-4.res-8.pt', seed=54321, sim_mat='./data/us_hhs/ind_mat.txt', train=0.6, valid=0.2, weight_decay=0, window=2)
data shape (364, 10)
<utils.Data_utility object at 0x7f23c51fae50>
model: Model(
  (GRU1): GRU(10, 10)
  (dropout): Dropout(p=0.5, inplace=False)
  (linear1): Linear(in_features=10, out_features=10, bias=True)
  (residual): Linear(in_features=2, out_features=1, bias=True)
)
* number of parameters: 873
begin training
| end of epoch  78 | time:  0.01s | train_loss 454059216052677.81250000 | valid rse 32023296.6132 | valid rae 6346463.7370 | valid corr  0.3098
| end of epoch  79 | time:  0.01s | train_loss 451471653520913.81250000 | valid rse 31934862.4916 | valid rae 6331439.6932 | valid corr  0.3090
| end of epoch  80 | time:  0.01s | train_loss 448506246786429.68750000 | valid rse 31836354.1676 | valid rae 6312133.0849 | valid corr  0.3089
| end of epoch  81 | time:  0.01s | train_loss 445573376949733.56250000 | valid rse 31738219.3172 | valid rae 6294375.1014 | valid corr  0.3084
| end of epoch  82 | time:  0.01s | train_loss 442508181791989.18750000 | valid rse 31634328.9620 | valid rae 6273020.4932 | valid corr  0.3086
| end of epoch  83 | time:  0.01s | train_loss 439885807844545.25000000 | valid rse 31537886.2562 | valid rae 6253011.8137 | valid corr  0.3089
| end of epoch  84 | time:  0.01s | train_loss 437359915397185.37500000 | valid rse 31448337.1047 | valid rae 6235092.5151 | valid corr  0.3090
| end of epoch  85 | time:  0.01s | train_loss 435061442476357.00000000 | valid rse 31362269.4189 | valid rae 6220195.4192 | valid corr  0.3083
| end of epoch  86 | time:  0.01s | train_loss 432538437537526.62500000 | valid rse 31290132.0973 | valid rae 6210160.9205 | valid corr  0.3068
| end of epoch  87 | time:  0.01s | train_loss 430000357868412.25000000 | valid rse 31206106.2776 | valid rae 6194220.1863 | valid corr  0.3066
| end of epoch  88 | time:  0.01s | train_loss 427606218079794.50000000 | valid rse 31138196.6448 | valid rae 6184706.8055 | valid corr  0.3052
| end of epoch  89 | time:  0.01s | train_loss 425105909925886.06250000 | valid rse 31050546.2712 | valid rae 6167874.6301 | valid corr  0.3050
| end of epoch  90 | time:  0.01s | train_loss 422894175180271.18750000 | valid rse 30958346.9469 | valid rae 6148516.1205 | valid corr  0.3053
| end of epoch  91 | time:  0.01s | train_loss 420729027723110.18750000 | valid rse 30888015.3309 | valid rae 6137153.2274 | valid corr  0.3044
| end of epoch  92 | time:  0.01s | train_loss 418445056870259.62500000 | valid rse 30817909.6136 | valid rae 6124626.7616 | valid corr  0.3039
| end of epoch  93 | time:  0.01s | train_loss 416254518695637.93750000 | valid rse 30734395.2874 | valid rae 6105106.2356 | valid corr  0.3050
| end of epoch  94 | time:  0.01s | train_loss 414442824866355.43750000 | valid rse 30656468.2973 | valid rae 6088853.3918 | valid corr  0.3052
| end of epoch  95 | time:  0.01s | train_loss 412325958487567.87500000 | valid rse 30585593.3278 | valid rae 6076397.7644 | valid corr  0.3047
| end of epoch  96 | time:  0.01s | train_loss 410040858441437.62500000 | valid rse 30495093.7584 | valid rae 6056769.9288 | valid corr  0.3052
| end of epoch  97 | time:  0.01s | train_loss 407883873438555.56250000 | valid rse 30401168.1289 | valid rae 6036041.6438 | valid corr  0.3060
| end of epoch  98 | time:  0.01s | train_loss 405723742825822.93750000 | valid rse 30325664.5157 | valid rae 6022583.0575 | valid corr  0.3054
| end of epoch  99 | time:  0.01s | train_loss 403500554834085.37500000 | valid rse 30248646.7291 | valid rae 6007748.3836 | valid corr  0.3053
| end of epoch 100 | time:  0.01s | train_loss 401249362849011.25000000 | valid rse 30154190.7190 | valid rae 5986269.6329 | valid corr  0.3063
| end of epoch 101 | time:  0.01s | train_loss 399049726602821.68750000 | valid rse 30072821.2488 | valid rae 5970474.7836 | valid corr  0.3061
| end of epoch 102 | time:  0.01s | train_loss 396943224605208.50000000 | valid rse 29975445.0090 | valid rae 5949030.4000 | valid corr  0.3069
| end of epoch 103 | time:  0.01s | train_loss 394667004857656.50000000 | valid rse 29889235.1298 | valid rae 5931498.2575 | valid corr  0.3070
